sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.2,0.6,-2.5,0.9432103857398033,0.013609790243357761,0.825001522898674,0.014010333276292817,0.6920284554362297,0.01913453041659001
0.001,1.0,0.25,0.2,0.65,-2.5,0.9459105655550957,0.01900278058883892,0.8077911511063576,0.010673521535839186,0.6933733001351357,0.018974395114567846
0.001,1.0,0.25,0.2,0.7,-2.5,0.9486498162150383,0.009706099540171704,0.8138227090239525,0.014705302682881135,0.6862380802631378,0.018393007322660165
0.001,1.0,0.25,0.2,0.75,-2.5,0.9408272206783295,0.01605444155171668,0.8134597986936569,0.011425876302737824,0.6701885312795639,0.025368477432655617
0.001,1.0,0.25,0.2,0.7,-2.0,0.9542190432548523,0.017438502772434635,0.8283585831522942,0.014350692832742347,0.707049660384655,0.01542012030517143
0.001,1.0,0.25,0.2,0.75,-2.0,0.9456856623291969,0.02012660331782325,0.8276117146015167,0.009054512924261324,0.7077997550368309,0.009704412429018872
0.001,1.0,0.25,0.2,0.8,-2.0,0.9526908025145531,0.02357904605378352,0.829129621386528,0.013755209650726949,0.7083522826433182,0.026932936848450995
0.001,1.0,0.25,0.2,0.85,-2.0,0.95719064027071,0.011789964265857262,0.8273508995771408,0.010197639494759752,0.7033594623208046,0.018231338669324006
0.001,1.0,0.25,0.2,0.9,-2.0,0.9520077332854271,0.019926245196071547,0.8284850493073463,0.01109390578427884,0.7053172364830971,0.005270505275833117
0.001,1.0,0.25,0.2,0.95,-2.0,0.9507119283080101,0.01231638989568132,0.8260007053613663,0.007499204822324437,0.6974583938717842,0.012288520499626532
0.001,1.0,0.25,0.2,0.6,-1.5,0.9578512087464333,0.016831504178764847,0.8420622497797012,0.010262578128641101,0.7240990102291107,0.011830972830183922
0.001,1.0,0.25,0.2,0.65,-1.5,0.958497166633606,0.01858862692337604,0.8401211351156235,0.017505666989954736,0.7128864750266075,0.009153876562098985
0.001,1.0,0.25,0.2,0.7,-1.5,0.9612395316362381,0.017560473735616203,0.838710829615593,0.011249540248691273,0.7262595593929291,0.01659733941803222
